dam,date_or_period,level_ft,kind,vintage_year,source_title,source_url,quote
Bhakra,31 Jul,1650,max permissible (rule curve),2019,"Real Time Decision Support System of Bhakra Beas Management Board (CBIP presentation, Er. Anil Vyas)",https://cbip.org/DCSM/Data/Mr.%20Anil.pdf,"MAXIMUM PERMISSIBLE RESERVOIR LEVEL UPTO 31 JULY AS PER RULE CURVE (chart horizontal line plotted at 1,650 ft, slide 44)"
Bhakra,15 Aug,1670,max permissible (rule curve),2019,"Real Time Decision Support System of Bhakra Beas Management Board (CBIP presentation, Er. Anil Vyas)",https://cbip.org/DCSM/Data/Mr.%20Anil.pdf,"MAXIMUM PERMISSIBLE RESERVOIR LEVEL UPTO 15AUGUST AS PER RULE CURVE (chart horizontal line plotted at 1,670 ft, slide 44)"
Bhakra,31 Jul,1650,max permissible (rule curve -- thesis restatement),2020 (thesis text; rule curve itself undated/1990-derived),"Asha Devi Singh, ""Operational Strategy for Bhakra Reservoir Under Changing Climate,"" PhD thesis, Jamia Millia Islamia (guide: Prof. Mohammed Sharif), March 2020, p.112",https://anurag14.github.io/archives/Asha%20Thesis.pdf,"The elevation level of reservoir should not be more than El.1650ft by 31st July"
Bhakra,15 Aug,1670,max permissible (rule curve -- thesis restatement),2020 (thesis text),"Asha Devi Singh, ""Operational Strategy for Bhakra Reservoir Under Changing Climate,"" PhD thesis, Jamia Millia Islamia, March 2020, p.112",https://anurag14.github.io/archives/Asha%20Thesis.pdf,"Reservoir level should not be filled beyond El.1670ft by 15th August"
Bhakra,31 Aug,1680,minimum date to reach FRL (rule curve -- thesis restatement),2020 (thesis text),"Asha Devi Singh, ""Operational Strategy for Bhakra Reservoir Under Changing Climate,"" PhD thesis, Jamia Millia Islamia, March 2020, p.112",https://anurag14.github.io/archives/Asha%20Thesis.pdf,"The reservoir level El.1680ft should not fill before 31st August. ... this level should not reach earlier than 31st August and filling the reservoir above this designated level of elevation is only done after all the due safety measures have been undertaken"
Bhakra,31 Jul,1650,max permissible (BBMB decision),undated (quoted 2013),"Pre-emptive spillage at Bhakra -- letter to editor by Er Padamjit Singh, Chief Engineer (retd) PSEB -- The Tribune",https://www.tribuneindia.com/2013/20130724/letters.htm,"According to an earlier decision of the BBMB, the level should not be more than 1650 ft as on July 31."
Bhakra,25 Aug,1670,pre-emptive-spillage trigger threshold,undated (quoted 2013),"Pre-emptive spillage at Bhakra -- letter to editor by Er Padamjit Singh, Chief Engineer (retd) PSEB -- The Tribune",https://www.tribuneindia.com/2013/20130724/letters.htm,"if the trends show that the level of 1670 will be reached by Aug 25 or earlier, only then pre-emptive spillage would be justified"
Bhakra,year-round ceiling (late monsoon),1680,max level decided by BBMB Board 138th/139th meetings (post-1988-flood rule curve origin),1990 decision (reported 2019),"BBMB reply to Lok Sabha Question Dy.No.9278 ""Full Reservoir Level of Dams,"" answered 03.01.2019 -- Section-wise Parliamentary Questioners 2019, Technical Section",https://bbmb.gov.in/writereaddata/Portal/GeneralDocument/268_1_Parliamentary_Questions_2019_Technical_Section.pdf,"After the devastating floods during the year 1988, the Board in its 138th & 139th meetings held on 19.07.1990 and 29.08.1990 respectively had decided that maximum level at Bhakra and Pong reservoirs should be kept 1680 ft and 1390 ft respectively for the storage purposes to cater any flood eventuality occurring in late monsoon months"
Bhakra,year-round design level,1690,designed FRL (pre-1990 curtailment),1990s design value (reported 2019),"BBMB reply to Lok Sabha Question Dy.No.9278, answered 03.01.2019",https://bbmb.gov.in/writereaddata/Portal/GeneralDocument/268_1_Parliamentary_Questions_2019_Technical_Section.pdf,"The designed Full Reservoir Level of Bhakra and Pong Dams are 1690 ft and 1400 ft respectively"
Bhakra,25 Jun 2019,1604,pre-monsoon target level (year-specific, not a standing rule-curve point),2019,"Reservoir to brim, Bhakra water released -- The Tribune (21 Aug 2019, by Arun Sharma)",https://www.tribuneindia.com/news/archive/punjab/reservoir-to-brim-bhakra-water-released-818475,"The level had been brought down by 20 feet from 1,624.18 to 1,604 feet by June 25, before the onset of monsoon."
